"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Goericke 2002","marine",1,1,"taxonomic",0,0,0,"Arabian Sea","field","none","Monsoon occurence","NE","Cruise with 25+ sampling stations","NA","NA",NA,0,"Phytoplankton groups based on pigment-derived data","yes","Anika",2002
"Goericke 2002","marine",3,1,"taxonomic",0,0,0,"Arabian Sea Cruise","field","in situ","Monsoons","NA","NA","January 1995, July-August 1995, November-December 1995","HNLC zone","td",0,"Taxonomically break down phytoplankton group contributions (Chl a)","y","Britt",2002
"Goericke 2011","marine",3,1,"taxonomic",0,0,0,"Scripps Pier, USA; California Current, USA; Sargasso Sea, USA; Southern Indian Ocean between 40 and 60˚S and 45 and 65˚E; Arabian Sea","field","none","none","multiple","Multiple regions","Twice a week from August 1997-July 2000; Cruise in April and October 1995 and October 1996; Sargossa Sea 1989 until 1998; others not given",NA,NA,0,"Phytoplankton taxonomically grouped by pigments","yes","Anika",2011
"Goericke 2011","marine",3,1,"taxonomic",0,0,0,"Scripps pier, San Diego, CA, USA","field","in situ","NA","NA","NA","August 1997 - July 2000 twice a week.","NA",NA,0,"Taxonomically break down phytoplankton group contributions (Chl a)","y","Britt",2011
"Gorgenyi et al 2024","freshwater",2,1,"taxonomic, morphological, physiological",0,0,0,"Lake database across Hungary","field","in situ","NA",NA,NA,NA,"NA",NA,0,"MAYBE","y","Ewaldo",2024
"Gorgenyi et al 2024","freshwater",2,1,"morphological, physiological",0,0,0,"Hungary lake database","field","in situ","NA","NA","NA","140 years","NA",NA,0,NA,"y","Heather",2024
"Grillo‑Avila et al 2025","freshwater",NA,1,"taxonomic",1,0,0,NA,"lab","experiment","pesticides",NA,NA,NA,NA,NA,NA,"Manipilation of pesticides affect phytoplankton, that then affect zoo. Not sure if this categorizes because there is not ""top down or bottom up"" here.","?","Ewaldo",2025
"Grillo‑Avila et al 2025","freshwater",3,1,"taxonomic",1,0,1,"Valencia, Spain","lab","experiment","nutrient","39.315572,  -0.319642","24 mesocosms","3 months","oligohaline",NA,1,NA,"y","Heather",2025
"Hart 2006","freshwater",1,1,"taxonomic",1,0,0,"upper uMngeni River, in KwaZulu-Natal","field","in situ","NA","29°30'S,
30°12'E; 29°26'S, 30°26'E","NA","fortnightly for 9 years","non-eutrophic",NA,0,NA,"y","Heather",2006
"Hart 2006","freshwater",3,1,"taxonomic, physiological",1,0,0,"Midmar and Albert Falls Reservoirs on the uMngeni River, KwaZulu-Natal, South Africa","field","in situ",NA,"(29°30'S ; 30°12'E), (29°26'S ; 30°25'E)",NA,"1989-1997, fortnightly sampling",NA,NA,0,NA,"include","Megan",2006
