key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-208106584,Impact of planktonic food web structure on nutrient retention and loss from a late summer pelagic system in the coastal northern Baltic Sea,1996,12,,MARINE ECOLOGY PROGRESS SERIES,0171-8630,145,1,195-208,"Heiskanen, AS and Tamminen, T and Gundersen, K",,English,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",,"",10.3354/meps145195,planktonic food web; carbon; nitrogen; phosphorus; sedimentation; eutrophication; `top-down' and ...,,,""
rayyan-208106586,The Response of North Sea Ecosystem Functional Groups to Warming and Changes in Fishing,2022,4,,FRONTIERS IN MARINE SCIENCE,,9,,,"Thorpe, Robert B. and Arroyo, Nina L. and Safi, Georges and Niquil, Nathalie and Preciado, Izaskun and Heath, Michael and Pace, Matthew C. and Lynam, Christopher P.",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",,"",10.3389/fmars.2022.841909,fisheries; North Sea; climate change; ecosystem modelling; MSFD; foodweb indicators; benthos; goo...,,,""
rayyan-208106587,Bottom-up or top-down - How is the autotrophic picoplankton mainly controlled? Results of long-term investigations from two drinking water reservoirs of different trophic state,2008,10,,LIMNOLOGICA,0075-9511,38,3,302-312,"Horn, Heidemarie and Horn, Wolfgang",,English,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",,"",10.1016/j.limno.2008.05.007,Autotrophic picoplankton; Bottom-up control; Top-down control; Daphnids; Rotifers; Protozoans; Lo...,,,""
rayyan-208106590,Comparing the effects of resource enrichment and grazing on a bacterioplankton community of a meso-eutrophic reservoir,2003,3,,AQUATIC MICROBIAL ECOLOGY,0948-3055,31,2,123-135,"Simek, K and Hornák, K and Masín, M and Christaki, U and Nedoma, J and Weinbauer, MG and Dolan, JR",,English,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",,"",10.3354/ame031123,reservoir; top-down and bottom-up control; dialysis bags; microbial food webs; bacterivory; bacte...,,,""
rayyan-208106591,Changes in the relationship between zooplankton and phytoplankton biomasses across a eutrophication gradient,2018,11,,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,63,6,2493-2507,"Yuan, Lester L. and Pollard, Amina I.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1002/lno.10955,"",,,""
rayyan-208106593,Functional traits of herbivores and food chain efficiency in a simple aquatic community model,2012,7,,ECOLOGICAL MODELLING,0304-3800,237,,88-100,"Tanaka, Yoshinari and Mano, Hiroyuki",,English,ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,"",10.1016/j.ecolmodel.2012.04.021,Ecosystem function; Lotka-Volterra model; Functional traits; Regime shift; Trophic dynamics; Trop...,,,""
rayyan-208106594,"Top-Down and Bottom-Up Controls on Microeukaryotic Diversity (i.e., Amplicon Analyses of SAR Lineages) and Function (i.e., Metatranscriptome Analyses) Assessed in Microcsm Experiments",2020,1,,FRONTIERS IN MARINE SCIENCE,,6,,,"Grattepanche, Jean-David and Katz, Laura A.",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",,"",10.3389/fmars.2019.00818,protists; phytoplankton bloom; copepods; gene expression; nanoplankton; microplankton,,,""
rayyan-208106595,Factors shaping bacterial phylogenetic and functional diversity in coastal waters of the NW Mediterranean Sea,2015,3,,ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,154,,102-110,"Boras, Julia A. and Vaque, Dolors and Maynou, Francesc and Sa, Elisabet L. and Weinbauer, Markus G. and Sala, Maria Montserrat",,English,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",,"",10.1016/j.ecss.2014.12.039,bacterioplankton; virus; protozoa; diversity; enzyme; biolog,,,""
rayyan-208106599,Recent invasion by a non-native cyprinid (common bream Abramis brama) is followed by major changes in the ecological quality of a shallow lake in southern Europe,2013,9,,BIOLOGICAL INVASIONS,1387-3547,15,9,2065-2079,"Volta, Pietro and Jeppesen, Erik and Leoni, Barbara and Campi, Barbara and Sala, Paolo and Garibaldi, Letizia and Lauridsen, Torben L. and Winfield, Ian J.",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"",10.1007/s10530-013-0433-z,Invasive alien species IAS; Electrofishing; Multi-mesh survey gill nets; CPUE; Cyprinids; Ecosyst...,,,""
rayyan-208106600,Fish-mediated changes in bacterioplankton community composition: an in situ mesocosm experiment,2018,3,,JOURNAL OF OCEANOLOGY AND LIMNOLOGY,2096-5508,36,2,341-350,"Congqiang, Luo and Chunlong, Yi and Leyi, Ni and Longgen, Guo",,English,SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, BEIJING, 100717, PEOPLES R CHINA",,"",10.1007/s00343-018-6281-z,bacterioplankton community composition (BCC); PCR-DGGE; qPCR; analysis of similarities (ANOSIM); ...,,,""
rayyan-208106602,Consumer adaptation mediates top-down regulation across a productivity gradient,2019,5,,OECOLOGIA,0029-8549,190,1,195-205,"Chislock, Michael F. and Sarnelle, Orlando and Jernigan, Lauren M. and Anderson, Vernon R. and Abebe, Ash and Wilson, Alan E.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s00442-019-04401-4,Eutrophication; Nutrient enrichment; Toxic cyanobacteria; Microcystin; Management; Harmful algal ...,,,""
rayyan-208106603,"Bottom-up linkages between primary production, zooplankton, and fish in a shallow, hypereutrophic lake",2018,9,,ECOLOGY,0012-9658,99,9,2025-2036,"Matsuzaki, Shin-ichiro S. and Suzuki, Kenta and Kadoya, Taku and Nakagawa, Megumi and Takamura, Noriko",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1002/ecy.2414,convergent cross-mapping (CCM); causal network; ecosystem functioning; energy transfer efficiency...,,,""
rayyan-208106610,An integrated approach for assessing the relative significance of human pressures and environmental forcing on the status of Large Marine Ecosystems,2009,4,,PROGRESS IN OCEANOGRAPHY,0079-6611,81,1,132-148,"Kenny, Andrew J. and Skjoldal, Hein Rune and Engelhard, Georg H. and Kershaw, Peter J. and Reid, James B.",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"ICES Annual Science Conference, Helsinki, FINLAND, 2007",10.1016/j.pocean.2009.04.007,"",,,""
rayyan-208106620,The taxonomic and functional biogeographies of phytoplankton and zooplankton communities across boreal lakes,2021,,,PEER COMMUNITY JOURNAL,,1,,,"St-Gelais, Nicolas F. and Vogt, Richard J. and del Giorgio, Paul A. and Beisner, Beatrix E.",,English,Peer Community In - PCI,"11 route de Bellet, Nice, FRANCE",,"",10.24072/pci.ecology.100082,"",,,""
rayyan-208106625,Top down and bottom-up regulation of phytoplankton assemblages in tidepools,1996,12,,MARINE ECOLOGY PROGRESS SERIES,0171-8630,145,1,161-177,"Metaxas, A and Scheibling, RE",,English,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",,"",10.3354/meps145161,community regulation; phytoplankton; tidepools; grazing; nutrients; experimental manipulations; s...,,,""
rayyan-208106626,Climate change effects on phytoplankton depend on cell size and food web structure,2012,11,,MARINE BIOLOGY,0025-3162,159,11,2455-2478,"Klauschies, Toni and Bauer, Barbara and Aberle-Malzahn, Nicole and Sommer, Ulrich and Gaedke, Ursula",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",,"",10.1007/s00227-012-1904-y,"",,,""
rayyan-208106634,Microbial community structure and dynamics in the largest natural French lake (Lake Bourget),2006,7,,MICROBIAL ECOLOGY,0095-3628,52,1,72-89,"Comte, J. and Jacquet, S. and Viboud, S. and Fontvieille, D. and Millery, A. and Paolini, G. and Domaizon, I.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s00248-004-0230-4,"",,,Comte et al 2006.pdf
rayyan-208106643,Impact of zooplankton food selectivity on plankton dynamics and nutrient cycling,2015,5,,JOURNAL OF PLANKTON RESEARCH,0142-7873,37,3,519-529,"Sailley, Sevrine F. and Polimene, Luca and Mitra, Aditee and Atkinson, Angus and Allen, J. Icarus",,English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",,"",10.1093/plankt/fbv020,feeding behavior; prey selection; plankton dynamics; zooplankton; stoichiometry,,,""
rayyan-208106644,"Abiotic and biotic controls of phytoplankton biomass dynamics in a freshwater tributary, estuary, and large lake ecosystem: Sandusky Bay (Lake Erie) chemostat",2017,,,INLAND WATERS,2044-2041,7,4,473-492,"Conroy, Joseph D. and Kane, Douglas D. and Quinlan, Erin L. and Edwards, William J. and Culver, David A.",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",,"",10.1080/20442041.2017.1395142,cyanobacterial harmful algal blooms; Cyanophyta; eutrophication; Lake Erie; nutrient regulation; ...,,,""
rayyan-208106646,Do phytoplankton communities evolve through a self-regulatory abundance-diversity relationship?,2009,2,,BIOSYSTEMS,0303-2647,95,2,160-165,"Roy, Shovonlal",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",,"",10.1016/j.biosystems.2008.10.001,Plankton diversity; Toxin-producing phytoplankton; Non-toxic phytoplankton; Change-point analysis...,,,""
rayyan-208106647,TOP-DOWN CONTROL OF PHYTOPLANKTON BY ZOOPLANKTON IN TROPICAL RESERVOIRS IN SINGAPORE?,2010,8,,RAFFLES BULLETIN OF ZOOLOGY,0217-2445,58,2,311-322,"Low, E. W. and Clews, E. and Todd, P. A. and Tai, Y. C. and Ng, Peter K. L.",,English,"NATL UNIV SINGAPORE, SCHOOL BIOLOGICAL SCIENCES","DEPT ZOOLOGY, KENT RIDGE, SINGAPORE 0511, SINGAPORE",,"",,Top-down control; zooplankton-phytoplankton relationships; cyanobacteria; tropical reservoirs; Si...,,,""
rayyan-208106649,Distinct patterns in the size-scaling of abundance and metabolism in coastal and open-ocean phytoplankton communities,2014,,,MARINE ECOLOGY PROGRESS SERIES,0171-8630,515,,61-71,"Huete-Ortega, M. and Rodriguez-Ramos, T. and Lopez-Sandoval, D. C. and Cermeno, P. and Blanco, J. M. and Palomino, R. L. and Rodriguez, J. and Maranon, E.",,English,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",,"",10.3354/meps11007,Phytoplankton; Cell size; Metabolism; Size-scaling; Abundance; Growth rate,,,""
